4469.35,5
4469.34,1
4468.06,5
4468.04,5.235971
4465.73,5.809845
4465.6,5.5
4465.45,1.494
4464,4.3395543
4463.16,0.253
4463.15,5.25643
4460.9,5
4458.85,2.6145
4458.83,5.4
4457.83,0.52
4457.82,8.051457
4457.47,0.235
4457.45,0.304166
4456.89,0.05
4456.81,0.02233796
4456.65,5.1
4455.5,0.02234442
4454.4,5.55
4452.99,0.25
4452.08,0.1
4452.07,5
4450,1
4449.95,5.64
4448.84,0.05606625
4448.69,0.00122007
4447.7,0.44690603
4447.49,3.4965
4447.47,5.2
4446.68,0.04486943
4446.52,0.03
4445.92,0.27739972
4445.28,5
4445.13,0.48394084
4444.77,0.04488871
4444.55,0.02532197
4443.87,0.972803
4443.86,6.993
4443.85,0.25
4443.84,1
4443.83,50.05
4443.28,5.825304
4443,0.01440114
4442,1
4441.23,5.66
4441,22.8
4439,0.4384331
4438.9,6
4438,2
4436.4,5.7921
4435.77,0.33072048
4435.08,1.15528
4435,2
4430.26,0.05
4430,3.8860588
4429.99,0.00630542
4428.72,0.1
4428,2.0063202
4427.16,0.05
4425.99,0.01126754
4425.87,0.21175046
4425.35,0.08533426
4425.2,10
4425.04,0.00627112
4425.03,0.00868694
4425,2.5
4424.8,8.84
4424.6,20
4424.5,20
4424.01,0.010025
4424,102.5551
4421.88,90.87675
4421.72,50.05
4420.15,5.629004
4420.14,3.6162865
4420,1.0564511
4415.51,0.00540232
4414.45,0.15
4414,0.28734088
4413.3,11.5528
4413,10
4412,0.04310113
4411,7.861222
4410,0.2529644
4409,0.30397734
4408.72,0.3
4407.52,0.00182124
4406.33,0.03
4406,5.01
4405,1
4404.11,0.00463412
4401.61,0.21000043
4400.88,0.38
4400.01,1.5821668
4400,4.792079
4399.72,50.05
4396.02,0.00182122
4392.86,0.01807478
4391.5,6.0341654
4390,0.10180868
4388,2.3399987
4387.51,0.43222466
4386,0.046
4385,1
4384.51,0.0018212
4384,0.046
4382,0.046
4381.39,0.00471191
4381,6.564845
4380.99,7.187939
4380.21,0.010025
4380.09,0.0055096
4380,1.6730663
4379,0.5
4378,0.068
4377.83,50.05
4376,0.046
4375.01,0.01009581
4375,1.6969211
4374,0.046
4373.01,0.00183118
4372,0.10102
4371.21,0.02879949
4371.19,0.01919949
4370,1.7051648
4369.01,0.03
4369,0.26
4368,1.152
4367.72,11.5528
4367.37,0.00546673
4366,11.098
4365,0.54
4364,1.061
4363.01,0.021
4362,0.046
4361.5,0.00183116
4361,6
4360,3.652321
4359,0.04
4358,0.096
4356.95,4.3417253
4356.05,50.05
4356,0.09787183
4354,0.121
4352.5,0.68190235
4352,0.11911571
4351.71,0.11444508
4351.16,0.36
4351.13,0.43
4351.1,0.06
4351.06,0.2
