4410.1,3.399
4410,6.799
4407.2,0.084
4405.8,0.02
4405.1,0.012
4405,0.957
4403.7,1
4402.9,1.5
4402.3,0.01
4401.6,0.576
4397.6,0.005
4397.4,5.8
4394.9,1
4394.8,0.003
4393.1,21.143
4393,1.233
4392.6,27.411
4392.5,6
4387.6,7
4385,1.5
4383.3,1.9
4382.8,0.15
4382.7,5.927
4382.3,0.011
4380,0.67
4377.6,6.6
4376.6,12.85
4376.3,6
4375.7,0.005
4375.4,0.002
4375,14
4371.9,4
4371,0.978
4370.6,0.005
4370.4,0.25
4370,0.038
4368.5,0.1
4367.7,0.08
4366.7,0.018
4366,0.1
4365.2,0.44
4365,1.858
4362.5,0.12
4361.1,0.478
4361,0.1
4360.1,1.143
4360,0.95
4357,0.025
4354.3,1
4352.6,0.003
4351.4,7.93
4351.3,0.005
4351.2,0.2
4351,1.25
4350.1,0.2
4350,11.913
4349.7,1.16
4349,20
4348.7,0.08
4348,0.25
4345,0.055
4340,1.312
4339,2.86
4337,0.024
4336,20
4335.3,3
4335,0.1
4333.3,0.031
4332,0.25
4331,0.116
4330,0.069
4328.1,0.012
4327.9,0.005
4325.9,0.1
4323.6,0.003
4321.8,0.014
4320.4,0.003
4320,0.45
4319,0.1
4317.2,0.25
4311,0.12
4310.6,1.2
4310,2.804
4309.8,1.879
4307.5,0.2
4305,0.6
4302.6,0.1
4301.5,15
4301.4,0.005
4301,1.2
4300,101.451
4299.7,0.02
4296.4,0.009
4295,0.01
4293.7,0.003
4293.4,0.1
4290,2.072
4289.6,0.576
4288.8,0.88
