Date,Open,High,Low,Close,Adj Close,Volume
2006-06-26,182.259995,182.580002,181.889999,182.399994,163.659180,24900
2006-06-27,182.350006,182.779999,182.350006,182.419998,163.677124,23400
2006-06-28,181.669998,181.869995,181.669998,181.830002,163.147736,125000
2006-06-29,181.199997,183.210007,181.169998,183.210007,164.385941,47600
2006-06-30,184.789993,185.009995,184.740005,184.929993,165.929230,31800
2006-07-03,184.520004,184.779999,183.970001,184.110001,165.375916,17200
2006-07-05,184.110001,184.110001,184.110001,184.110001,165.375916,0
2006-07-06,184.110001,184.110001,184.110001,184.110001,165.375916,0
2006-07-07,185.440002,185.440002,185.059998,185.289993,166.435822,8500
2006-07-10,184.309998,184.509995,184.289993,184.399994,165.636414,13800
2006-07-11,184.410004,184.929993,184.399994,184.929993,166.112503,13000
2006-07-12,183.899994,183.899994,183.500000,183.699997,165.007629,700
2006-07-13,184.699997,184.699997,184.160004,184.470001,165.699234,14800
2006-07-14,184.080002,184.080002,183.880005,183.880005,165.169312,6200
2006-07-17,182.250000,182.529999,182.179993,182.179993,163.642288,13300
2006-07-18,183.339996,183.339996,182.899994,182.979996,164.360901,42700
2006-07-19,182.929993,184.679993,182.929993,184.679993,165.887909,900
2006-07-20,185.429993,185.429993,185.240005,185.240005,166.390945,7300
2006-07-21,186.220001,186.350006,186.220001,186.330002,167.370010,600
2006-07-24,185.800003,185.800003,185.449997,185.500000,166.624481,1000
2006-07-25,185.100006,185.190002,184.509995,184.570007,165.789093,18000
2006-07-26,185.490005,186.020004,185.490005,185.929993,167.010712,20000
2006-07-27,187.020004,187.020004,186.130005,186.309998,167.352036,10000
2006-07-28,187.039993,187.149994,186.919998,186.919998,167.899948,14900
2006-07-31,187.350006,187.479996,187.050003,187.419998,168.349091,14400
2006-08-01,186.809998,187.759995,186.710007,187.710007,169.151154,36400
2006-08-02,187.869995,188.000000,187.600006,187.770004,169.205154,9400
2006-08-03,188.949997,188.949997,188.550003,188.800003,170.133347,24300
2006-08-04,190.690002,191.279999,190.690002,190.889999,172.016693,25500
2006-08-07,191.149994,191.270004,190.589996,190.699997,171.845474,12600
2006-08-08,190.740005,191.990005,190.649994,190.649994,171.800446,8400
2006-08-09,191.110001,191.270004,190.759995,190.759995,171.899597,9900
2006-08-10,190.380005,190.380005,189.229996,189.270004,170.556854,7600
2006-08-11,189.449997,189.949997,189.279999,189.279999,170.565933,1300
2006-08-14,189.320007,189.539993,189.110001,189.110001,170.412689,1100
2006-08-15,189.979996,189.979996,189.580002,189.580002,170.836258,12100
