4491.6,0.006
4491.9,2.193
4492,4
4492.2,0.584
4493.3,1
4493.7,0.5
4493.8,8.973
4494,0.1
4494.7,0.003
4495,8.668
4495.3,0.257
4496.9,0.243
4497,0.042
4497.18,0.006
4497.4,0.739
4497.996,0.006
4498,0.03
4498.5,0.066
4498.7,0.1
4498.8,0.006
4498.9,1.59
4499,2.219
4499.9,1.119
4500,90.438
4500.5,0.151
4500.9,0.027
4501.4,0.199
4501.9,1
4502.1,0.071
4504.3,2.3
4505.5,0.016
4506.156,0.006
4509.2,0.154
4509.318,0.006
4510,2.525
4511.1,0.023
4512.2,0.007
4512.6,0.023
4514.2,0.012
4515,2
4516.9,0.1
4520,0.321
4520.1,0.02
4520.2,0.025
4520.8,0.363
4521,1.2
4522,0.265
4523,1.055
4523.9,0.031
4524,0.27
4525,1
4525.4,0.014
4525.7,6.1
4526.76,0.005
4527.1,0.082
4527.5,0.003
4528.6,0.203
4529,2
4529.3,0.006
4529.6,4.8
4530,0.2
4530.6,0.003
4530.9,0.01
4531,0.004
4533,0.1
4533.7,5
4535,0.086
4535.5,0.35
4536,0.3
4537.9,0.006
4538.7,5.2
4539,3.255
4539.2,0.2
4540,0.01
4540.7,1
4541.3,0.293
4542.8,8.5
4542.9,6.021
4543,0.337
4544.8,8.12
4545,0.606
4546,0.076
4546.7,14.9
4547,2
4547.364,0.006
4547.4,68.227
4548,5.452
4549,1.4
4550,3.326
4551,1
4551.2,0.016
4552,1
4555,0.8
4555.1,0.15
4555.2,0.4
4555.422,0.005
4558.2,0.009
4560,0.03
4561.3,0.1
4563.3,0.1
