4351.5,0.349
4353.2,0.009
4353.8,2.3
4354,0.2
4357.1,0.146
4357.2,1.5
4357.6,0.07
4357.7,0.093
4357.8,0.073
4357.9,0.08
4358,6.5
4359.9,29.887
4360,7.005
4360.2,0.004
4361.8,4
4363,0.56
4364,0.488
4364.4,4.6
4368.4,4.6
4369.9,4.209
4370,10
4371.4,4.6
4371.9,25
4374,0.287
4374.9,0.574
4375,0.25
4377,0.34
4377.138,0.365
4377.6,0.05
4378,2.01
4379.259,0.068
4379.5,0.003
4380,4.932
4384,2
4384.3,0.05
4385,0.047
4388,0.01
4388.9,0.15
4389,2
4390,2.36
4390.3,0.003
4394,1.12
4395,7.334
4395.3,0.05
4395.7,0.809
4397,0.267
4398,0.06
4398.1,0.003
4398.3,0.1
4399,1.434
4400,22.757
4404.9,0.017
4406,0.032
4409.7,0.752
4409.8,0.323
4410,1.27
4413,0.231
4413.8,0.207
4414,3.961
4415,0.1
4415.7,2
4416,1.879
4416.6,0.005
4417,0.31
4418,8.87
4418.1,0.01
4418.8,6.94
4418.9,15.25
4419,2.3
4420,19.679
4422,1.12
4424,0.392
4424.046,0.005
4424.4,5
4425,5.618
4425.3,0.474
4426,0.044
4427.6,0.1
4428.3,0.05
4429,0.068
4429.1,0.003
4430,2.022
4430.7,3
4435.5,1
4436,0.003
4437,0.004
4437.1,12.5
4438,1.599
4439,0.065
4440,1.641
4440.3,0.004
4441,0.25
4442.1,0.004
4443.8,0.007
4444,0.5
4444.4,2.4
4444.9,0.05
4445,0.03
4445.8,0.5
4447,2.093
